model,train_r2,val_r2,test_r2,train_mae,val_mae,test_mae,train_mse,val_mse,test_mse
Linear Regression,-3.917427538257458,-3.8478420541794875,-4.929491403057921,1152383650.9140499,1154051098.4330015,1264794648.1807582,1.01060744373351e+19,9.801618809933726e+18,1.2154465539076053e+19
Ridge Regression,-3.910013782448953,-3.8401378083994144,-4.920127179435432,1152129610.6055,1153761104.1333344,1264435642.104752,1.0090838022059414e+19,9.786041965739882e+18,1.213527044702127e+19
Lasso Regression,-3.862515645630822,-3.7560431195263444,-4.850802963118842,1150609705.6746657,1150786702.1483352,1261215957.083693,9.993222001775593e+18,9.61601495680233e+18,1.1993167399564466e+19
Random Forest,0.9989412409577466,0.9985277069233341,0.9983516639327997,26815698.73912292,33903286.48745563,36334333.073646136,2175913647729348.2,2976758597475731.5,3378813217482729.0
Gradient Boosting,0.9965881304518572,0.9962364757790068,0.9955000001263643,52668459.832185134,56399701.39136127,61903342.565476485,7011919821034398.0,7609288706987812.0,9224247017500434.0
XGBoost,0.9960151171768322,0.9956715683421875,0.9949357837949382,57813387.00971428,61393052.20066671,66808662.64199994,8189550760368194.0,8751447897967466.0,1.0380796119395756e+16
LightGBM,0.9959907079628966,0.9955716005999998,0.995038686375617,57373764.83041222,59958986.40366077,65359359.23658849,8239715471707859.0,8953567870372195.0,1.0169863041712622e+16
