cat2_slug,count,percentage
residential-sell,558708,55.870799999999996
residential-rent,276558,27.655800000000003
commercial-rent,76567,7.6567
commercial-sell,38861,3.8861
temporary-rent,29903,2.9903
real-estate-services,19403,1.9403
